district,population_2011
Garhwa,1322784
Chatra,1042886
Koderma,716259
Giridih,2445474
Deoghar,1492073
Godda,1313551
Sahibganj,1150567
Pakur,900422
Dhanbad,2684487
Bokaro,2062330
Lohardaga,461790
East Singhbhum,2293919
Palamu,1939869
Latehar,726978
Hazaribagh,1734495
Ramgarh,949443
Dumka,1321442
Jamtara,791042
Ranchi,2914253
Khunti,531885
Gumla,1025213
Simdega,599578
West Singhbhum,1502338
Seraikela-Kharsawan,1065056
