epsilon,preventable_harm_recall,operational_lateness_rate,median_earliness_min
0.01,0.9638055842812823,0.07515089688004761,18.798496282611843
0.025,0.953759787265475,0.08436056561534756,16.9474581093679
0.05,0.9394297532870439,0.09762248859417949,15.321836998213819
0.1,0.9131924951986999,0.12162430219048428,13.441272945017522
0.2,0.8600679568621658,0.16951457961404404,11.36638891229984
